URL,Name,Price,Rating,Seller,Description
https://www.newegg.com/msi-pro-z790-a-max-wifi-atx-intel-z790-lga-1700/p/N82E16813144634,MSI PRO Z790-A MAX WIFI LGA 1700 Intel Z790 SATA 6Gb/s ATX Motherboard,285.00,4.3,zara technologies,"Supports Intel Core Next-gen 14th Gen / 13th Gen / 12th Gen, Pentium Gold and Celeron processors for LGA 1700 socket
 Supports DDR5 Memory, Dual Channel DDR5 7800+MHz (OC)
 Enhanced Power Design: 16+1+1 DRPS with 80A SPS, dual 8-pin CPU power connectors, Core Boost, Memory Boost
 Premium Thermal Solution: Extended Heatsink, MOSFET thermal pads rated for 7W/mK, additional choke thermal pads and M.2 Shield Frozr are built for high performance system and non-stop gaming experience
 High Quality PCB: 6-layer PCB made by 2oz thickened copper and server grade level material
 Lightning Fast Game experience: PCIe 5.0 slot, Lightning Gen 4 x4 M.2, USB 3.2 Gen 2x2
 2.5G LAN with Wi-Fi 7 Solution: Upgraded network solution for professional and multimedia use. Delivers a secure, stable and fast network connection"
https://www.newegg.com/gigabyte-z790-aorus-master-x-extended-atx-intel-z790-lga-1700/p/N82E16813145476,"GIGABYTE Z790 AORUS MASTER X LGA 1700(14th,13th,12th Gen) Intel Z790 X EATX Motherboard with DDR5, 5 M.2, PCIe 5.0, USB 3.2 Type-C, Wi-Fi 7, 10GbE LAN, Q-Flash Plus, EZ-Latch Plus",449.99,4,Newegg,"Intel LGA 1700 Socket: Supports 13th and next-gen processors
 Dual Channel DDR5: 4*DIMMs with XMP 3.0 memory module support
 Commanding Power Design: Digital direct 20+1+2 phases VRM solution
 Cutting-Edge Thermal Design: VRM Thermal Armor Fins-Array & M.2 Thermal Guard
 Ultra-Fast Storage: 5*M.2 slots, including 1 PCIe 5.0 x4
 Fast Networking: 10GbE LAN & Wi-Fi 7
 Extended Connectivity: PCIe 5.0, DP, Front & Dual Rear USB-C 20Gb/s
 Fine Tuning Features: RGB FUSION 2.0, Supports Addressable LED & RGB LED Strips, Smart Fan 6, Q-Flash Plus Update BIOS without installing CPU, Memory, and GPU"
https://www.newegg.com/lsi-megaraid-sas-9361-8i-sata-sas/p/N82E16816118230,LSI 9300 MegaRAID SAS 9361-8i (LSI00417) PCI-Express 3.0 x8 Low Profile SATA / SAS High Performance Eight-Port 12Gb/s RAID Controller (Single Pack)--Avago Technologies,94.99,4.2,Cloud Computing LLC,"RAID 0/1/5/6/10/50/60 
 2 x mini-SAS SFF8643 internal connector (Horizontal mount) Internal Connectors 
 Up to 12Gb/s"
https://www.newegg.com/asus-pg27ucdm-27-uhd-240-hz-rog-swift-oled-qd-oled-black/p/N82E16824281348,"ASUS 27"" 240 Hz OLED UHD Gaming Monitor FreeSync Premium Pro & G-Sync Compatible DCI-P3 99%, sRGB 145% ROG Swift OLED PG27UCDM",1199.99,4.8,Newegg,"27"" 
 OLED UHD 
 240 Hz 
 FreeSync Premium Pro & G-Sync Compatible 
 1,500,000:1 
 1.07 Billion 
 Tilt: +20° ~ -5° Swivel: +30° ~ -30° Height adjustment: 0~120mm Pivot: +90° ~ -90°        
 1 x DisplayPort 2.1 / 1 x USB-C (PD 90W) / 2 x HDMI 2.1 3 x USB 3.2 Gen 1 Type-A 
 DisplayPort 2.1 DP80 cable, HDMI Ultra High-Speed Cable, Power cord, Power adaptor, Quick start guide, USB 3.2 cable, ROG Wall-Mount kit, Warranty Card, ROG sticker, ROG pouch, Microfiber cloth, color calibration report"
https://www.newegg.com/green-project-b-lc75y-yellow/p/N82E16828651003,Green Project B-LC75Y Yellow Ink Cartridge Replaces Brother LC75Y,6.64,,Newegg,"Yellow 
 600 Pages 
 Compatible Products LC75Y,LC75-Y,LC-75 Y,LC75-Y DCP-J525W DCP-J725DW DCP-J925DW MFC-J280W MFC-J425W MFC-J430W MFC-J435W MFC-J5910DW MFC-J625W MFC-J6510DW MFC-J6710DW MFC-J6910DW MFC-J825DW MFC-J835DW"
https://www.newegg.com/purple-startech-0-5-ft-consumer-electronics/p/N82E16812399077,StarTech N6PATCH6INPL StarTech.com Cat6 Patch Cable - 6 in - Purple Ethernet Cable - Snagless RJ45 Cable - Ethernet Cord - Cat 6 Cable - 6in,390.99,,Newegg,"6in Purple CAT6 Ethernet cable w/ 100% copper Multi Gigabit 1/2.5/5Gbps and 10Gbps up to 160ft|Fluke patch cord tested to comply w/ ANSI/TIA-568-2.D Category 6
 24 AWG stranded copper conductors|Up to 100W for PoE applications|IEEE 802.3bt and DTE power compliance|Built w/ ETL and UL verified wire (E132276-A)|650Mhz Rated|ANSI/TIA-568-B wiring|6 inch
 50-micron gold-plated RJ45 connectors stop rust/corrosion
 Snagless UTP network cable is easily pulled through wiring conduits"
https://www.newegg.com/amd-epyc-4344p-socket-am5/p/N82E16819113835,AMD EPYC 4004 (4th Gen) 4344P Octa-core (8 Core) 3.80 GHz Processor -  32 MB L3 Cache - 64-bit Processing - 5.30 GHz Overclocking Speed - Socket AM5 - 65 W - 16 Threads 100-100001479WOF,349.99,5,Newegg,AMD EPYC 4004 (4th Gen) 4344P Octa-core (8 Core) 3.80 GHz Processor -  32 MB L3 Cache - 64-bit Processing - 5.30 GHz Overclocking Speed - Socket AM5 - 65 W - 16 Threads 100-100001479WOF
https://www.newegg.com/intel-xeon-w5-2455x-lga-4677/p/N82E16819118460,Intel Xeon w5-2455X Dodeca-core (12 Core) 3.20 GHz Processor - 30 MB L3 Cache - 64-bit Processing - 4.60 GHz Overclocking Speed - Socket LGA-4677 - 240 W - 24 Threads -BX807132455X,1049.99,4.5,Newegg,"The processor features Socket LGA-4677 socket for installation on the PCB
 30 MB of L3 cache memory offers great system performance and avoids interruptions while executing complex and critical tasks
 Dodeca-core (12 Core) processor core helps processor process data in a dependable and timely manner with maximum productivity
 Processor with 3.20 GHz clock speed for quick and dependable processing of data to ensure maximum productivity
 Intel Xeon 3.20 GHz processor offers great stability when you are dealing with 3D rendering software or playing games. Integrated ECC-memory reduces the chance of critical system crashes."
https://www.newegg.com/ubiquiti-networks-usw-ultra-gbe-rj45-ports/p/2WK-00B4-000Z3,Ubiquiti Networks Ultra (USW-Ultra (42W)) Switch,106.11,,Deal Targets,"A compact, Layer 2, 8-port GbE PoE switch with versatile mounting options.
 (7) GbE PoE+ output ports
 (1) GbE PoE++ input port*
 — 42W PoE availability with PoE++ input
 — 16W PoE availability with PoE+ input
 *PoE input is supported for switch operation, with PoE+/PoE++ input or AC power required for PoE output."
https://www.newegg.com/msi-mpg-mt201r-mount-iron-grey/p/N82E16824960025,"MSI MPG MT201R - Premium RGB Single Monitor Stand Arm,  Supports 17-49"" Screens and 44 lbs, VESA Compatible, Adjustable Heavy Duty Gas Spring Mount, Clamp & Grommet, Quick Release Plate - Gray",2099.90,4.4,Newegg,"Elevate Your Workspace with the MSI MPG MT201R Premium RGB Single Monitor Stand Arm.
 Experience the ultimate in ergonomic comfort and productivity with our fully adjustable heavy-duty gas spring mount. 
 Perfect for monitors sized 17-49 inches, the arm boasts a capacity of 44 lbs per screen, ensuring stability and versatility. 
 Compatible with VESA mounting standards (100x100 and 75x75), installation is a breeze with the quick-release plate. 
 Enhance your setup with sleek gray aesthetics. Plus, enjoy peace of mind with our 3-year coverage."
